lat,line,line_color,lon,order,station,year,depth,number
55.718828,Калужско-Рижская линия,#F07E24,37.607892,13,Шаболовская,1980,-46.5,6
55.70678,Калужско-Рижская линия,#F07E24,37.584990000000005,14,Ленинский проспект,1962,-16,6
55.687146999999996,Калужско-Рижская линия,#F07E24,37.5723,15,Академическая,1962,-8.5,6
55.677671,Калужско-Рижская линия,#F07E24,37.562595,16,Профсоюзная,1962,-7,6
55.670077,Калужско-Рижская линия,#F07E24,37.554493,17,Новые Черёмушки,1962,-7,6
55.656681999999996,Калужско-Рижская линия,#F07E24,37.540075,18,Калужская,1974,-10,6
55.642357,Калужско-Рижская линия,#F07E24,37.526115000000004,19,Беляево,1974,-12,6
55.631857,Калужско-Рижская линия,#F07E24,37.519156,20,Коньково,1987,-8,6
55.618730000000006,Калужско-Рижская линия,#F07E24,37.505912,21,Теплый Стан,1987,-8,6
55.606182,Калужско-Рижская линия,#F07E24,37.5334,22,Ясенево,1990,-8,6
55.601946999999996,Калужско-Рижская линия,#F07E24,37.553017,23,Новоясеневская,1990,-7,6
55.814916000000004,Сокольническая линия,#E42313,37.732227,0,Бульвар Рокоссовского,1990,-8,1
55.802787,Сокольническая линия,#E42313,37.744863,1,Черкизовская,1990,-9,1
55.796321999999996,Сокольническая линия,#E42313,37.713582,2,Преображенская площадь,1965,-8,1
55.78928199999999,Сокольническая линия,#E42313,37.679895,3,Сокольники,1935,-9,1
55.780014,Сокольническая линия,#E42313,37.666097,4,Красносельская,1935,-8,1
55.774072,Сокольническая линия,#E42313,37.654565000000005,5,Комсомольская,1935,-8,1
55.76830699999999,Сокольническая линия,#E42313,37.6478,6,Красные ворота,1935,-31,1
55.764990000000004,Сокольническая линия,#E42313,37.638293,7,Чистые пруды,1935,-35,1
55.759889,Сокольническая линия,#E42313,37.625336,8,Лубянка,1935,-32.5,1
55.757228000000005,Сокольническая линия,#E42313,37.615078000000004,9,Охотный ряд,1935,-15,1
55.752123,Сокольническая линия,#E42313,37.610388,10,Библиотека им.Ленина,1935,-12,1
55.745296999999994,Сокольническая линия,#E42313,37.604217,11,Кропоткинская,1935,-13,1
55.736163,Сокольническая линия,#E42313,37.595027,12,Парк культуры,1935,-10.5,1
55.727462,Сокольническая линия,#E42313,37.580220000000004,13,Фрунзенская,1957,-42,1
55.722388,Сокольническая линия,#E42313,37.562041,14,Спортивная,1957,-42,1
55.709168999999996,Сокольническая линия,#E42313,37.557293,15,Воробьевы горы,1959,10,1
55.693290000000005,Сокольническая линия,#E42313,37.534511,16,Университет,1959,-26.5,1
55.676549,Сокольническая линия,#E42313,37.504584,17,Проспект Вернадского,1963,-8,1
55.663146,Сокольническая линия,#E42313,37.482852,18,Юго-Западная,1963,-8,1
55.6459,Сокольническая линия,#E42313,37.4725,19,Тропарёво,2014,-12,1
55.633,Сокольническая линия,#E42313,37.4419,20,Румянцево,2016,-12,1
55.6227,Сокольническая линия,#E42313,37.424,21,Саларьево,2016,-12,1
55.809962,Арбатско-Покровская линия,#0072BA,37.798261,0,Щёлковская,1963,-8,3
55.794376,Арбатско-Покровская линия,#0072BA,37.799364000000004,1,Первомайская,1961,-7,3
55.787713000000004,Арбатско-Покровская линия,#0072BA,37.779896,2,Измайловская,1961,0,3
55.788401,Арбатско-Покровская линия,#0072BA,37.74882,3,Партизанская,1944,-9,3
55.78309599999999,Арбатско-Покровская линия,#0072BA,37.719289,4,Семёновская,1944,-40,3
55.782056999999995,Арбатско-Покровская линия,#0072BA,37.7053,5,Электрозаводская,1944,-31.5,3
55.772405000000006,Арбатско-Покровская линия,#0072BA,37.67904,6,Бауманская,1944,-32.5,3
55.756741000000005,Арбатско-Покровская линия,#0072BA,37.62236,8,Площадь Революции,1938,-33.6,3
55.758564,Арбатско-Покровская линия,#0072BA,37.659039,7,Курская,1938,-30.7,3
55.752311999999996,Арбатско-Покровская линия,#0072BA,37.60349,9,Арбатская,1953,-41,3
55.747713,Арбатско-Покровская линия,#0072BA,37.583802,10,Смоленская,1953,-50,3
55.743117000000005,Арбатско-Покровская линия,#0072BA,37.564132,11,Киевская,1953,-38,3
55.735679000000005,Арбатско-Покровская линия,#0072BA,37.516865,12,Парк Победы,2003,-73.6,3
55.729542,Арбатско-Покровская линия,#0072BA,37.470973,13,Славянский бульвар,2008,-8.5,3
55.730633999999995,Арбатско-Покровская линия,#0072BA,37.445122999999995,14,Кунцевская,2008,0,3
55.741375,Арбатско-Покровская линия,#0072BA,37.415627,15,Молодёжная,1965,-6.5,3
55.756842000000006,Арбатско-Покровская линия,#0072BA,37.408139,16,Крылатское,1989,-9.5,3
55.803831,Арбатско-Покровская линия,#0072BA,37.402405,17,Строгино,2008,-8,3
55.823342000000004,Арбатско-Покровская линия,#0072BA,37.385214000000005,18,Мякинино,2009,0,3
